diseaseId,disease,n_genes,n_known
EFO_0000466,endometrioid carcinoma,2,0
MONDO_0001763,ethmoid sinus cancer,2,0
MONDO_0002665,extrahepatic bile duct adenocarcinoma,2,0
MONDO_0002280,anemia,2,0
EFO_1001082,panuveitis,2,0
EFO_1000252,Fallopian Tube Carcinosarcoma,2,0
MONDO_0008627,ureter cancer,2,0
MONDO_0001322,pericardium cancer,2,0
EFO_0006475,plasma cell leukemia,2,0
MONDO_0002794,adult medulloblastoma,2,0
MONDO_0002914,childhood brain stem neoplasm,2,0
EFO_1000231,Endometrial Clear Cell Adenocarcinoma,2,0
MONDO_0002073,malignant pineal area germ cell neoplasm,2,0
MONDO_0004030,ureter transitional cell carcinoma,1,0
EFO_1001012,leptomeningeal metastasis,1,0
MONDO_0037256,serous neoplasm,1,0
MONDO_0044907,metastatic squamous cell carcinoma,1,0
MONDO_0004197,male urethral cancer,1,0
MONDO_0004231,spindle cell variant squamous cell breast carcinoma,1,0
MONDO_0040676,great vessel cancer,1,0
EFO_0000559,keratinizing squamous cell carcinoma,1,0
MONDO_0018171,malignant germ cell tumor of ovary,1,0
MONDO_0018060,congenital fibrinogen deficiency,1,0
MONDO_0016717,choroid plexus neoplasm,1,0
MONDO_0016096,malignant non-dysgerminomatous germ cell tumor of ovary,1,0
EFO_0000182,hepatocellular carcinoma,1,0
EFO_0000209,T-cell acute lymphoblastic leukemia,1,0
MONDO_0044926,oropharyngeal carcinoma,1,0
EFO_0000373,congestive heart failure,1,0
MONDO_0021038,Ewing sarcoma/peripheral primitive neuroectodermal tumor,1,0
EFO_0002617,metastatic melanoma,1,0
EFO_0002615,internal carotid artery stenosis,1,0
EFO_0006859,head and neck malignant neoplasia,1,0
EFO_0003868,mouth neoplasm,1,0
MONDO_0021528,benign neoplasm of male breast,1,0
MONDO_0021364,neoplasm of oropharynx,1,0
MONDO_0021092,fallopian tube neoplasm,1,0
EFO_1000576,Thymic Carcinoma,1,0
MONDO_0024879,metastatic carcinoma,1,0
MONDO_0021657,ovarian sex cord-stromal tumor,1,0
MONDO_0021656,nongerminomatous germ cell tumor,1,0
EFO_0003860,pancreatic neoplasm,1,0
EFO_0003853,respiratory system neoplasm,1,0
EFO_0002950,pregnancy,1,0
MONDO_0004667,sublingual gland cancer,1,0
MONDO_0004545,adult malignant schwannoma,1,0
MONDO_0004336,rectal signet ring cell adenocarcinoma,1,0
EFO_0006352,laryngeal squamous cell carcinoma,1,0
MONDO_0003029,skin angiosarcoma,1,0
MONDO_0003022,pediatric angiosarcoma,1,0
MONDO_0002981,peripheral primitive neuroectodermal tumor of bone,1,0
MONDO_0002912,brainstem cancer,1,0
MONDO_0002834,primary prostate urothelial carcinoma,1,0
MONDO_0002581,spindle cell rhabdomyosarcoma,1,0
MONDO_0001128,nasal cavity cancer,1,0
MONDO_0000956,small intestine cancer,1,0
MONDO_0000653,integumentary system cancer,1,0
MONDO_0002482,nipple neoplasm,1,0
MONDO_0002434,oculomotor nerve cancer,1,0
MONDO_0002178,placenta cancer,1,0
MONDO_0002100,cardiovascular cancer,1,0
EFO_1000016,anaplastic lung carcinoma,1,0
MONDO_0001501,retroperitoneal sarcoma,1,0
MONDO_0001410,postmenopausal atrophic vaginitis,1,0
MONDO_0001378,urachus cancer,1,0
MONDO_0001375,bladder trigone cancer,1,0
MONDO_0001350,parametrium malignant neoplasm,1,0
MONDO_0100431,migraine without aura,1,0
EFO_0000218,acute erythroleukemia,1,0
MONDO_0020574,central nervous system nongerminomatous germ cell tumor,1,0
MONDO_0019465,nodal marginal zone B-cell lymphoma,1,0
MONDO_0019079,proximal spinal muscular atrophy,1,0
MONDO_0018201,extragonadal germ cell tumor,1,0
EFO_0000588,mesothelioma,1,0
EFO_0000278,pancreatitis,1,0
MONDO_0001991,malignant cardiac germ cell tumor,1,0
EFO_1000435,Ovarian Transitional Cell Carcinoma,1,0
MONDO_0044925,oral cavity carcinoma,1,0
EFO_1001231,uveitis,1,0
EFO_1001094,penile neoplasm,1,0
EFO_1000236,Endometrial Mucinous Adenocarcinoma,1,0
EFO_1000234,Endometrial Hyperplasia without Atypia,1,0
EFO_1000088,Appendix Adenocarcinoma,1,0
EFO_1000026,diffuse intrinsic pontine glioma,1,0
EFO_0700108,non-infectious posterior uveitis,1,0
EFO_0008528,urothelial carcinoma,1,0
EFO_0007372,mitral valve stenosis,1,0
EFO_0007270,femoral cancer,1,0
MONDO_0003510,malignant testicular germ cell tumor,1,0
EFO_1001956,gallbladder carcinoma,1,0
MONDO_0003495,ovarian squamous cell neoplasm,1,0
MONDO_0003404,adult yolk sac tumor,1,0
MONDO_0003403,testicular non-seminomatous germ cell cancer,1,0
MONDO_0003283,epididymal neoplasm,1,0
MONDO_0003248,adult pineal parenchymal tumor,1,0
MONDO_0003216,ureter adenocarcinoma,1,0
EFO_1001944,childhood acute monocytic leukemia,1,0
EFO_1001943,childhood acute megakaryoblastic leukemia,1,0
EFO_1001779,chronic myelomonocytic leukemia,1,0
EFO_1001769,carcinoid heart disease,1,0
MONDO_0003107,infratentorial cancer,1,0
MONDO_0003104,epicardium cancer,1,0
MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma,1,0
EFO_1001969,"squamous cell breast carcinoma, acantholytic variant",1,0
MONDO_0003502,ureter squamous cell carcinoma,1,0
