gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Wnt11,"wingless-type MMTV integration site family, member 11",22411,56.0,P56,M,prosomere 3,0.106044
Wnt9b,"wingless-type MMTV integration site family, member 9B",22412,56.0,P56,M,prosomere 3,0.0264492
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,4.48292
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,3.92672
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,0.971026
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,4.97831
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,0.683685
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,4.70913
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,0.810705
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,7.38125
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,3.88029
Wnt2b,"wingless-type MMTV integration site family, member 2B",22414,56.0,P56,M,prosomere 3,0.625667
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,1.17139
Wnt3,"wingless-type MMTV integration site family, member 3",22415,56.0,P56,M,prosomere 3,0.0463201
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,5.28882
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,10.0854
Sgk1,serum/glucocorticoid regulated kinase 1,20393,56.0,P56,M,prosomere 3,1.34366
Frzb,frizzled-related protein,20378,56.0,P56,M,prosomere 3,0.359027
Frzb,frizzled-related protein,20378,56.0,P56,M,prosomere 3,0.173315
Sfrp1,secreted frizzled-related protein 1,20377,56.0,P56,M,prosomere 3,0.953208
Spi1,spleen focus forming virus (SFFV) proviral integration oncogene,20375,56.0,P56,M,prosomere 3,0.0699645
Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",20361,56.0,P56,M,prosomere 3,1.37646
Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",20361,56.0,P56,M,prosomere 3,0.00569787
Wnt4,"wingless-type MMTV integration site family, member 4",22417,56.0,P56,M,prosomere 3,0.504479
Wnt5a,"wingless-type MMTV integration site family, member 5A",22418,56.0,P56,M,prosomere 3,0.422995
Wnt6,"wingless-type MMTV integration site family, member 6",22420,56.0,P56,M,prosomere 3,0.116191
Wnt7a,"wingless-type MMTV integration site family, member 7A",22421,56.0,P56,M,prosomere 3,0.0339687
Wnt7b,"wingless-type MMTV integration site family, member 7B",22422,56.0,P56,M,prosomere 3,1.6197
Wnt7b,"wingless-type MMTV integration site family, member 7B",22422,56.0,P56,M,prosomere 3,0.225225
Sema6c,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C",20360,56.0,P56,M,prosomere 3,2.00446
Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",20358,56.0,P56,M,prosomere 3,2.8152
Wnt8b,"wingless-type MMTV integration site family, member 8B",22423,56.0,P56,M,prosomere 3,0.0791335
Sema5b,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B",20357,56.0,P56,M,prosomere 3,0.0229936
Xbp1,X-box binding protein 1,22433,56.0,P56,M,prosomere 3,0.0111388
Xbp1,X-box binding protein 1,22433,56.0,P56,M,prosomere 3,4.93832
Plagl1,pleiomorphic adenoma gene-like 1,22634,56.0,P56,M,prosomere 3,0.912361
Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",20356,56.0,P56,M,prosomere 3,0.076637
Nrgn,neurogranin,64011,56.0,P56,M,prosomere 3,2.38763
Zbtb7b,zinc finger and BTB domain containing 7B,22724,56.0,P56,M,prosomere 3,4.15403
Zfpm2,"zinc finger protein, multitype 2",22762,56.0,P56,M,prosomere 3,0.5603
Zfpm2,"zinc finger protein, multitype 2",22762,56.0,P56,M,prosomere 3,0.492426
Zic1,zinc finger protein of the cerebellum 1,22771,56.0,P56,M,prosomere 3,3.58481
Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",20356,56.0,P56,M,prosomere 3,0.039502
Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",20356,56.0,P56,M,prosomere 3,2.61396
